window,time,avg_queue_delay,max_queue_delay,file_size,throughput
1000,10.713216,0.000003,0.000800,514520,48026.661649
2000,5.366016,0.000002,0.000800,514520,95884.917227
5000,2.145216,0.000016,0.003200,514520,239845.311614
10000,1.084416,0.000070,0.007200,514520,474467.363078
15000,0.730816,0.000163,0.011200,514520,704034.941764
20000,0.551616,0.000295,0.015200,514520,932750.319063
3000,0.083200,0.000240,0.001600,10000,120192.307692
3000,0.083200,0.000240,0.001600,10000,120192.307692
3000,0.083200,0.000240,0.001600,10000,120192.307692
3000,0.083200,0.000240,0.001600,10000,120192.307692
3000,0.083200,0.000240,0.001600,10000,120192.307692
3000,0.083200,0.000240,0.001600,10000,120192.307692
